id;name;latitude;longitude;address;ward;district;province;primaryType;types;rating;userRatingCount;timezone;openingHours;priceLevel;priceRange
ChIJJTbFP0kvdTER4qFgbANkZfE;Mỹ Viện TILI -Trung Tâm Chăm Sóc Da Đặc Biệt;10,7818711;106,7043159;26 Chu Mạnh Trinh;;Quận 1;Hồ Chí Minh;spa;['beauty_salon', 'establishment', 'health', 'point_of_interest', 'spa'];5;4;Asia/Ho_Chi_Minh;[{'days': 'Monday - Saturday', 'open': '08:30', 'close': '18:30'}];3;400k-800k
ChIJ99zgdlEudTER4Wky8lPEyqg;Ngoc Phu Aesthetic Hospital;10,7736851;106,6858279;229 Nguyễn Đình Chiểu;Phường 5;Quận 3;Hồ Chí Minh;spa;['doctor', 'establishment', 'health', 'point_of_interest', 'spa'];4,4;144;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '07:00', 'close': '19:30'}];3;400k-800k
ChIJl8dki8oodTERLiA90pbvc8k;Kalin Spa - Massage vai cổ gáy- Body massage -Foot massage- Gội đầu;10,7916988;106,6984112;20 Đường Điện Biên Phủ;;Quận 1;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa'];4,8;233;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Thursday', 'open': '08:00', 'close': '21:00'}, {'days': 'Friday', 'open': '08:00', 'close': '20:00'}, {'days': 'Saturday', 'open': '08:00', 'close': '21:00'}];3;400k-800k
ChIJpzAJt94udTERTabBS-bJ_s4;Mxinh Beauty and Spa center;10,7746503;106,6717274;616 Đường Lê Hồng Phong;Phường 12;Quận 10;Hồ Chí Minh;spa;['beauty_salon', 'establishment', 'health', 'point_of_interest', 'spa'];;;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:30', 'close': '20:00'}];3;400k-800k
ChIJ-f3grCEvdTER5CmpSDe3Ib4;Chi Phạm Spa & Salon;10,7708393;106,6792464;88 Bàn Cờ;Phường 3;Quận 3;Hồ Chí Minh;spa;['beauty_salon', 'establishment', 'hair_care', 'point_of_interest', 'spa', 'store'];4,8;32;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:30', 'close': '20:30'}];3;400k-800k
ChIJv8YN3jEvdTER-a-9YXTGF3M;Art Era Salon Spa by Nguyễn Thủy;10,7829057;106,6884153;6A Tú Xương;Phường Võ Thị Sáu;Quận 3;Hồ Chí Minh;spa;['beauty_salon', 'establishment', 'hair_care', 'health', 'point_of_interest', 'spa'];4,5;102;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:00', 'close': '21:00'}];3;400k-800k
ChIJ2yS4SxYvdTERkJRPi-dYa4Y;Aroma Việt Spa;10,76633;106,6913892;2 Đỗ Quang Đẩu;Phường Phạm Ngũ Lão;Quận 1;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa'];3,1;23;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJAQDA2ksvdTERsBy1OCmbEfg;R.E Technology;10,7842863;106,7036299;37 Đường Tôn Đức Thắng;;Quận 1;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa'];5;1;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJQcJ6sScvdTERydO2LxMxFPw;Công Ty TNHH Nhan Sắc Việt - Athena Spa & Clinic;10,777954;106,6790404;42 Hẻm 283 Cách Mạng Tháng Tám;Phường 12;Quận 10;Hồ Chí Minh;spa;['establishment', 'health', 'point_of_interest', 'spa'];2,7;3;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:30', 'close': '18:00'}];3;400k-800k
ChIJ8wHhHCQvdTERBIsM2iLbolM;Thẩm Mỹ Viện Hoàng Bảo Ngân;10,7740937;106,6828397;107 Hẻm 6 Vườn Chuối;Phường 4;Quận 3;Hồ Chí Minh;spa;['beauty_salon', 'establishment', 'health', 'point_of_interest', 'spa'];;;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '20:30', 'close': '22:00'}];3;400k-800k
ChIJo-8120cvdTERZMETclQFH20;MENARD SHOP - SPA PASTEUR;10,775018;106,700535;69 Pasteur;;Quận 1;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa', 'store'];4,3;47;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '08:00', 'close': '21:00'}];3;400k-800k
ChIJ_Z2a5j4vdTER1RN1jWxBjLk;Jeng Nails Salon;10,7725145;106,6955718;49 Đường Trương Định;;Quận 1;Hồ Chí Minh;spa;['beauty_salon', 'establishment', 'hair_care', 'point_of_interest', 'spa'];4,6;319;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:00', 'close': '21:00'}];3;400k-800k
ChIJea1SabkodTERDnozY8FaFlw;SEN RIVER SPA;10,803694;106,7000785;23 Phan Bội Châu;Phường 14;Bình Thạnh;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa'];4,2;89;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:00', 'close': '20:00'}];3;400k-800k
ChIJncjd0EcvdTERst0uKhrdRjU;Menard Shop - Spa Takashimaya;10,7730748;106,7004673;92 Nam Kỳ Khởi Nghĩa;;Quận 1;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa', 'store'];;;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJpfMEGcUodTERTiufv4r7kuc;Công ty TNHH DV Bảo Nam;10,7805249;106,6750569;8R Cách Mạng Tháng Tám;;Quận 10;Hồ Chí Minh;spa;['clothing_store', 'establishment', 'health', 'point_of_interest', 'spa', 'store'];4,8;8;Asia/Ho_Chi_Minh;;3;400k-800k
ChIJ7dPd2yYvdTERgsfoSCh1bqg;Princess Spa & Waxing;10,7724216;106,6700799;105A Trần Thiện Chánh;Phường 12;Quận 10;Hồ Chí Minh;spa;['establishment', 'point_of_interest', 'spa'];4,4;140;Asia/Ho_Chi_Minh;[{'days': 'Sunday - Saturday', 'open': '09:00', 'close': '19:30'}];3;400k-800k
